id,name,slug,description,category_id,base_price,compare_at_price,cost_per_item,fabric,fit,color,is_visible,is_featured,deleted_at,created_at,updated_at
020ffa5d-a780-533d-8723-9ca107d17ede,Dress Socks,dress-socks,Soft and comfortable dress socks suitable for formal wear. Designed for breathability and durability with a clean finish.,e65c49d2-bfa5-5973-b196-918ccddeb6a5,100.00,130.00,,Cotton Blend,modern,Black,true,false,,2026-04-03 06:29:50.371051+00,2026-04-03 06:29:50.371051+00
02a1256e-a4c1-5742-9ae8-691a27aa9610,Advocate Gown - Raymond,advocate-gown---raymond,Premium Raymond fabric gown known for superior quality and finish. Perfect for professionals seeking a refined and long-lasting garment.,b6dd61ed-347a-5832-af86-7c6d8890b7ea,4500.00,5200.00,,Raymond Fabric,classic,Black,true,true,,2026-04-03 06:29:47.620878+00,2026-04-03 06:29:47.620878+00
05444f63-be53-51ac-b2ea-6c5ef272c98a,Advocate Gown - Read & Tailor,advocate-gown---read--tailor,High-end Read & Tailor fabric gown offering excellent craftsmanship and premium feel. Designed for a distinguished courtroom presence.,b6dd61ed-347a-5832-af86-7c6d8890b7ea,4500.00,5200.00,,Read & Tailor,classic,Black,true,false,,2026-04-03 06:29:48.026462+00,2026-04-03 06:29:48.026462+00
07600593-8f38-4fcd-91a0-8ffb1ffa95d4,Dress Coat,Dress Coat,"Premium Advocate Dress Coat crafted for a sharp and professional courtroom look.
Made from high-quality fabric for comfort, durability, and a perfect fit.
Available in multiple sizes for both regular and senior styles.",b6dd61ed-347a-5832-af86-7c6d8890b7ea,2500.00,3000.00,,Polyviscose,modern,Black,true,true,,2026-04-03 17:35:39.619331+00,2026-04-03 17:35:39.619331+00
09a5a6ab-169e-57d1-9ae7-8a5fce6d513d,Coat & Pant Set (2-Piece),coat--pant-set-2-piece,Elegant 2-piece package including premium advocate coat and matching pant. Designed for a sharp professional courtroom appearance with superior comfort.,b6dd61ed-347a-5832-af86-7c6d8890b7ea,3800.00,4200.00,,Polyviscose / Raymond,classic,Black,true,true,,2026-04-03 06:29:50.513577+00,2026-04-03 06:29:50.513577+00
0cf9fcde-b199-40de-b978-965a1d5e9695,The Barrister Charcoal Three-Piece,barristers-charcoal-three-piece,A refined three-piece suit crafted from Super 120s Italian wool. Perfect for courtroom appearances.,a1b2c3d4-0001-0001-0001-000000000001,45000.00,55000.00,,Super 120s Italian Wool,slim,Charcoal,true,true,,2026-04-01 20:29:36.468203+00,2026-04-01 20:29:36.468203+00
1439ea3c-d2f8-5114-b170-f72b25db1318,Dress Coat,dress-coat,"Premium Advocate Dress Coat crafted for a sharp and professional courtroom look.
Made from high-quality fabric for comfort, durability, and a perfect fit.
Available in multiple sizes for both regular and senior styles.",b6dd61ed-347a-5832-af86-7c6d8890b7ea,2500.00,3000.00,,Polyviscose,classic,Black,true,true,,2026-04-03 06:29:45.267697+00,2026-04-03 06:29:45.267697+00
1f609ae2-a17b-5bfa-a3b9-5d9091d2442d,"Coat, Waistcoat & Pant (3-Piece)",coat-waistcoat--pant-3-piece,"Complete 3-piece package with premium coat, tailored waistcoat, and matching pant. Designed for a polished professional appearance in the courtroom.",b6dd61ed-347a-5832-af86-7c6d8890b7ea,5000.00,5500.00,,Polyviscose / Raymond,classic,Black,true,true,,2026-04-03 06:29:50.941472+00,2026-04-03 06:29:50.941472+00
2d5810a5-7cb7-4710-b517-a3b6e4c4f33f,Dress Shirt & Pant Set (2-Piece),shirt-pant-set-2-piece,Comfortable 2-piece package with premium dress shirt and matching pant. Perfect for professional and formal occasions.,bca30842-185c-52db-aa61-f7143e828556,2000.00,2300.00,,Cotton Blend / Raymond,modern,Black/White,true,true,,2026-04-03 17:49:29.037278+00,2026-04-03 17:49:29.037278+00
31b9fe59-77c2-4f30-b2ef-dfff23e46e1d,Senior Advocate Gown - Burkha,senior-gown-burkha,Durable Burkha fabric gown tailored for senior advocates. Provides a structured and professional look suitable for daily court use.,b6dd61ed-347a-5832-af86-7c6d8890b7ea,4500.00,5200.00,,Burkha Fabric,classic,Black,true,false,,2026-04-03 17:44:22.00499+00,2026-04-03 17:44:22.00499+00
